Technology,VECTO_Group,Year,Efficiency
Diesel,0,2022,21.17
Diesel,1,2022,21.93
Diesel,2,2022,22.69
Diesel,3,2022,24.43
Diesel,4-UD,2022,24.63
Diesel,4-RD,2022,25.15
Diesel,4-LH,2022,24.58
Diesel,5-RD,2022,29.83
Diesel,5-LH,2022,34.60
Diesel,9-RD,2022,26.26
Diesel,9-LH,2022,26.26
Diesel,10-RD,2022,34.07
Diesel,10-LH,2022,34.07
Diesel,11,2022,26.42
Diesel,12,2022,34.28
Diesel,16,2022,-
Diesel,0,2030,21.17
Diesel,1,2030,21.93
Diesel,2,2030,22.69
Diesel,3,2030,24.43
Diesel,4-UD,2030,24.63
Diesel,4-RD,2030,25.15
Diesel,4-LH,2030,24.58
Diesel,5-RD,2030,29.83
Diesel,5-LH,2030,34.60
Diesel,9-RD,2030,26.26
Diesel,9-LH,2030,26.26
Diesel,10-RD,2030,34.07
Diesel,10-LH,2030,34.07
Diesel,11,2030,26.42
Diesel,12,2030,34.28
Diesel,16,2030,-
Diesel,0,2040,21.17
Diesel,1,2040,21.93
Diesel,2,2040,22.69
Diesel,3,2040,24.43
Diesel,4-UD,2040,24.63
Diesel,4-RD,2040,25.15
Diesel,4-LH,2040,24.58
Diesel,5-RD,2040,29.83
Diesel,5-LH,2040,34.60
Diesel,9-RD,2040,26.26
Diesel,9-LH,2040,26.26
Diesel,10-RD,2040,34.07
Diesel,10-LH,2040,34.07
Diesel,11,2040,26.42
Diesel,12,2040,34.28
Diesel,16,2040,-
NG,0,2022,17.64
NG,1,2022,18.28
NG,2,2022,18.91
NG,3,2022,20.36
NG,4-UD,2022,20.53
NG,4-RD,2022,20.96
NG,4-LH,2022,20.48
NG,5-RD,2022,24.86
NG,5-LH,2022,28.83
NG,9-RD,2022,21.88
NG,9-LH,2022,21.88
NG,10-RD,2022,28.39
NG,10-LH,2022,28.39
NG,11,2022,22.02
NG,12,2022,28.57
NG,16,2022,0.00
NG,0,2030,17.64
NG,1,2030,18.28
NG,2,2030,18.91
NG,3,2030,20.36
NG,4-UD,2030,20.53
NG,4-RD,2030,20.96
NG,4-LH,2030,20.48
NG,5-RD,2030,24.86
NG,5-LH,2030,28.83
NG,9-RD,2030,21.88
NG,9-LH,2030,21.88
NG,10-RD,2030,28.39
NG,10-LH,2030,28.39
NG,11,2030,22.02
NG,12,2030,28.57
NG,16,2030,0.00
NG,0,2040,17.64
NG,1,2040,18.28
NG,2,2040,18.91
NG,3,2040,20.36
NG,4-UD,2040,20.53
NG,4-RD,2040,20.96
NG,4-LH,2040,20.48
NG,5-RD,2040,24.86
NG,5-LH,2040,28.83
NG,9-RD,2040,21.88
NG,9-LH,2040,21.88
NG,10-RD,2040,28.39
NG,10-LH,2040,28.39
NG,11,2040,22.02
NG,12,2040,28.57
NG,16,2040,0.00
BET,0,2022,0.58
BET,1,2022,0.60
BET,2,2022,0.62
BET,3,2022,0.80
BET,4-UD,2022,0.88
BET,4-RD,2022,0.95
BET,4-LH,2022,1.06
BET,5-RD,2022,1.18
BET,5-LH,2022,1.24
BET,9-RD,2022,0.96
BET,9-LH,2022,1.06
BET,10-RD,2022,1.20
BET,10-LH,2022,1.26
BET,11,2022,1.03
BET,12,2022,1.14
BET,16,2022,0.95
BET,0,2030,0.48
BET,1,2030,0.50
BET,2,2030,0.51
BET,3,2030,0.65
BET,4-UD,2030,0.66
BET,4-RD,2030,0.72
BET,4-LH,2030,0.81
BET,5-RD,2030,0.87
BET,5-LH,2030,0.91
BET,9-RD,2030,0.73
BET,9-LH,2030,0.80
BET,10-RD,2030,0.93
BET,10-LH,2030,0.97
BET,11,2030,0.81
BET,12,2030,0.90
BET,16,2030,0.72
BET,0,2040,0.48
BET,1,2040,0.50
BET,2,2040,0.51
BET,3,2040,0.65
BET,4-UD,2040,0.66
BET,4-RD,2040,0.72
BET,4-LH,2040,0.81
BET,5-RD,2040,0.87
BET,5-LH,2040,0.91
BET,9-RD,2040,0.73
BET,9-LH,2040,0.80
BET,10-RD,2040,0.93
BET,10-LH,2040,0.97
BET,11,2040,0.81
BET,12,2040,0.90
BET,16,2040,0.72
FCET,0,2022,3.33
FCET,1,2022,3.45
FCET,2,2022,3.56
FCET,3,2022,4.59
FCET,4-UD,2022,5.01
FCET,4-RD,2022,5.40
FCET,4-LH,2022,6.73
FCET,5-RD,2022,6.73
FCET,5-LH,2022,7.87
FCET,9-RD,2022,5.46
FCET,9-LH,2022,6.69
FCET,10-RD,2022,6.84
FCET,10-LH,2022,7.98
FCET,11,2022,5.89
FCET,12,2022,6.53
FCET,16,2022,5.41
FCET,0,2030,2.48
FCET,1,2030,2.57
FCET,2,2030,2.64
FCET,3,2030,3.37
FCET,4-UD,2030,3.45
FCET,4-RD,2030,3.72
FCET,4-LH,2030,4.89
FCET,5-RD,2030,4.51
FCET,5-LH,2030,5.54
FCET,9-RD,2030,3.81
FCET,9-LH,2030,4.89
FCET,10-RD,2030,4.81
FCET,10-LH,2030,5.90
FCET,11,2030,4.20
FCET,12,2030,4.67
FCET,16,2030,3.76
FCET,0,2040,2.27
FCET,1,2040,2.35
FCET,2,2040,2.42
FCET,3,2040,3.09
FCET,4-UD,2040,3.16
FCET,4-RD,2040,3.41
FCET,4-LH,2040,4.59
FCET,5-RD,2040,4.14
FCET,5-LH,2040,5.21
FCET,9-RD,2040,3.49
FCET,9-LH,2040,4.59
FCET,10-RD,2040,4.41
FCET,10-LH,2040,5.54
FCET,11,2040,3.85
FCET,12,2040,4.28
FCET,16,2040,3.45
HVO,0,2022,21.17
HVO,1,2022,21.93
HVO,2,2022,22.69
HVO,3,2022,24.43
HVO,4-UD,2022,24.63
HVO,4-RD,2022,25.15
HVO,4-LH,2022,24.58
HVO,5-RD,2022,29.83
HVO,5-LH,2022,34.60
HVO,9-RD,2022,26.26
HVO,9-LH,2022,26.26
HVO,10-RD,2022,34.07
HVO,10-LH,2022,34.07
HVO,11,2022,26.42
HVO,12,2022,34.28
HVO,16,2022,-
HVO,0,2030,21.17
HVO,1,2030,21.93
HVO,2,2030,22.69
HVO,3,2030,24.43
HVO,4-UD,2030,24.63
HVO,4-RD,2030,25.15
HVO,4-LH,2030,24.58
HVO,5-RD,2030,29.83
HVO,5-LH,2030,34.60
HVO,9-RD,2030,26.26
HVO,9-LH,2030,26.26
HVO,10-RD,2030,34.07
HVO,10-LH,2030,34.07
HVO,11,2030,26.42
HVO,12,2030,34.28
HVO,16,2030,-
HVO,0,2040,21.17
HVO,1,2040,21.93
HVO,2,2040,22.69
HVO,3,2040,24.43
HVO,4-UD,2040,24.63
HVO,4-RD,2040,25.15
HVO,4-LH,2040,24.58
HVO,5-RD,2040,29.83
HVO,5-LH,2040,34.60
HVO,9-RD,2040,26.26
HVO,9-LH,2040,26.26
HVO,10-RD,2040,34.07
HVO,10-LH,2040,34.07
HVO,11,2040,26.42
HVO,12,2040,34.28
HVO,16,2040,-
